feature,importance
weighted_emoji_sent,0.3201381743751017
n_emojis,0.14906692310001404
std_female_age,0.12761497673934075
indoor,0.12602355942251567
percent_cold,0.07248473537365693
dominance,0.07163605310294108
percent_warm,0.06247143156641413
lum_percent,0.0369672091919345
cap_sentiment_score,0.01747813100893213
is_location,0.016118806119149134
places365_macro_0.0,0.0
cap_sentiment_magnitude,0.0
is_sponsored,0.0
places365_macro_2.0,0.0
mean_female_age,0.0
std_male_age,0.0
mean_male_age,0.0
max_age,0.0
places365_macro_1.0,0.0
places365_micro_1.0,0.0
places365_micro_0.0,0.0
std_age,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
min_age,0.0
caption_len,0.0
mean_age,0.0
animal,0.0
days_within,0.0
PopularityScore,0.0
r_percent,0.0
g_percent,0.0
b_percent,0.0
pleasure,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
accessory,0.0
n_female,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
n_mentions,0.0
is_video,0.0
n_male,0.0
places365_micro_8.0,0.0
