feature,importance
cuteness,0.2766974364166522
PopularityScore,0.17233750365050998
dominance,0.16283411867554373
percent_warm,0.12615716277043507
r_percent,0.10885026903333536
indoor,0.10627479391781451
n_mentions,0.04633491181824417
n_hashtags,0.0005138037174650518
max_age,0.0
mean_male_age,0.0
min_age,0.0
std_male_age,0.0
std_age,0.0
mean_female_age,0.0
std_female_age,0.0
cap_sentiment_score,0.0
cap_sentiment_magnitude,0.0
places365_macro_2.0,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
n_female,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
mean_age,0.0
is_sponsored,0.0
n_male,0.0
animal,0.0
days_within,0.0
g_percent,0.0
b_percent,0.0
lum_percent,0.0
percent_cold,0.0
pleasure,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
accessory,0.0
caption_len,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_emojis,0.0
weighted_emoji_sent,0.0
is_video,0.0
is_location,0.0
places365_micro_6.0,0.0
