feature,importance
n_mentions,0.22489506601344075
places365_micro_0.0,0.1751754781578942
is_location,0.12233928887167535
cap_sentiment_score,0.12029669415360059
pleasure,0.11220480579148191
cap_sentiment_magnitude,0.06634494248401748
outdoor,0.05914488002816077
places365_macro_1.0,0.04940410973105835
percent_warm,0.03549444047482462
g_percent,0.03470029429384601
places365_micro_15.0,0.0
places365_micro_5.0,0.0
std_age,0.0
places365_micro_6.0,0.0
min_age,0.0
max_age,0.0
mean_male_age,0.0
std_male_age,0.0
mean_female_age,0.0
std_female_age,0.0
cuteness,0.0
places365_micro_4.0,0.0
places365_macro_0.0,0.0
places365_macro_2.0,0.0
n_female,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_12.0,0.0
places365_micro_2.0,0.0
places365_micro_14.0,0.0
mean_age,0.0
is_sponsored,0.0
n_male,0.0
caption_len,0.0
days_within,0.0
PopularityScore,0.0
r_percent,0.0
b_percent,0.0
lum_percent,0.0
percent_cold,0.0
arousal,0.0
dominance,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
n_emojis,0.0
weighted_emoji_sent,0.0
n_hashtags,0.0
is_video,0.0
places365_micro_7.0,0.0
